x13,col,yr,site,sample.core.no,replicate.section,type.1,sample,region,loc.collect,principal.habitat,cervicornis,long,lat,water.depth,date,collector,loc.store,type.2,type.3,penetration.depth.m,recovery.m,bot.m,top.m,section.length,type.4,max,min,method,temp,notes,wet,dry,x2mm,x500,x250,x106,x63,otoliths,spicules,mollusks,dermal.denticles,gastropods,bivalvia,scaphop,bryozoa,urchins,crustacean,corals,halimedas,otolitos.vertebras.dientes,residuos,sagittal.number,sagittal.weight.mg,other.number,other.weight.mg,dientes.number,dientes.weight.mg,huesos.number,huesos.weight.mg,name,desc,long.1,lat.deg,lat.dec.mins,long.deg,long.dec.mins,lat.deg.1,lat.mins,lat.sec,long.deg.1,long.mins,long.sec
NA,AT,12,18,2,1,M,AT12-18-2-1,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,7.6,27-Nov-2012,Aaron,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1500.00,NA,NA,NA,NA,NA,NA,NA, 1,NA, 25.288, 54.966,0.573,1.393,51.028,1.382,234.310, 2.962,0.000, 975.800,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-2-1 (M),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,2,1,O,AT12-18-2-1,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,7.6,27-Nov-2012,Aaron,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,  850.00,  92.1300, 942.0320, 205.7080, 133.3490,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4,NA, 0,NA, 0,NA, 0,NA,AT12-18-2-1 (O),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,2,1,S,AT12-18-2-1,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,7.6,27-Nov-2012,Aaron,STRI/SIO,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,  850.00,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-2-1 (S),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,2,2,M,AT12-18-2-2,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,7.6,27-Nov-2012,Josef,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1450.00,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-2-2 (M),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,2,2,O,AT12-18-2-2,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,7.6,27-Nov-2012,Josef,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1100.00,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-2-2 (O),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,2,2,S,AT12-18-2-2,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,7.6,27-Nov-2012,Josef,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,Sub-sample sent to Magdalena for spicule analysis (and analysed),NA,NA,  850.00,NA,NA,NA,NA,NA,NA, 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-2-2 (S),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,3,1,M,AT12-18-3-1,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,8.1,27-Nov-2012,Aaron,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1750.00,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-3-1 (M),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,3,1,O,AT12-18-3-1,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,8.1,27-Nov-2012,Aaron,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,  800.00, 118.5640, 371.6020, 170.6060,  73.4380,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 10,NA, 0,NA, 3,NA, 0,NA,AT12-18-3-1 (O),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,3,1,S,AT12-18-3-1,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,8.1,27-Nov-2012,Aaron,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,  800.00,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-3-1 (S),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12,18,3,2,M,AT12-18-3-2,Domican Republic,"Feri, SW Levantado, Samana Bay",Fringing reef,dead,-69.28076,19.16458617,8.1,27-Nov-2012,Josef,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 2050.00,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-18-3-2 (M),Sub Recent,-69.28076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
